Date,price_Yes_nuclear,price_Yes,price_No
2025-10-01 00:00:00+00:00,0.05,0.05,0.95
2025-10-02 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-10-03 00:00:00+00:00,0.05,0.05,0.95
2025-10-04 00:00:00+00:00,0.06,0.06,0.94
2025-10-05 00:00:00+00:00,0.06,0.06,0.94
2025-10-06 00:00:00+00:00,0.04,0.04,0.96
2025-10-07 00:00:00+00:00,0.04,0.04,0.96
2025-10-08 00:00:00+00:00,0.04,0.04,0.96
2025-10-09 00:00:00+00:00,0.04,0.04,0.96
2025-10-10 00:00:00+00:00,0.06,0.06,0.94
2025-10-11 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-10-12 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-10-13 00:00:00+00:00,0.06,0.06,0.94
2025-10-14 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-10-15 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-10-16 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-10-17 00:00:00+00:00,0.06,0.06,0.94
2025-10-18 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-10-19 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-10-20 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-10-21 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-10-22 00:00:00+00:00,0.06,0.06,0.94
2025-10-23 00:00:00+00:00,0.05,0.05,0.95
2025-10-24 00:00:00+00:00,0.06,0.06,0.94
2025-10-25 00:00:00+00:00,0.06,0.06,0.94
2025-10-26 00:00:00+00:00,0.06,0.06,0.94
2025-10-27 00:00:00+00:00,0.04,0.04,0.96
2025-10-28 00:00:00+00:00,0.04,0.04,0.96
2025-10-29 00:00:00+00:00,0.04,0.04,0.96
2025-10-30 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-10-31 00:00:00+00:00,0.07,0.07,0.9299999999999999
2025-11-01 00:00:00+00:00,0.05,0.05,0.95
2025-11-02 00:00:00+00:00,0.05,0.05,0.95
2025-11-03 00:00:00+00:00,0.05,0.05,0.95
2025-11-04 00:00:00+00:00,0.04,0.04,0.96
2025-11-05 00:00:00+00:00,0.08,0.08,0.92
2025-11-06 00:00:00+00:00,0.05,0.05,0.95
2025-11-07 00:00:00+00:00,0.05,0.05,0.95
2025-11-08 00:00:00+00:00,0.06,0.06,0.94
2025-11-09 00:00:00+00:00,0.05,0.05,0.95
2025-11-10 00:00:00+00:00,0.06,0.06,0.94
2025-11-11 00:00:00+00:00,0.039,0.039,0.961
2025-11-12 00:00:00+00:00,0.035,0.035,0.965
2025-11-13 00:00:00+00:00,0.031,0.031,0.969
2025-11-14 00:00:00+00:00,0.034,0.034,0.966
2025-11-15 00:00:00+00:00,0.035,0.035,0.965
2025-11-16 00:00:00+00:00,0.028,0.028,0.972
2025-11-17 00:00:00+00:00,0.036,0.036,0.964
2025-11-18 00:00:00+00:00,0.031,0.031,0.969
2025-11-19 00:00:00+00:00,0.035,0.035,0.965
2025-11-20 00:00:00+00:00,0.03406666666666667,0.03406666666666667,0.9659333333333333
2025-11-21 00:00:00+00:00,0.033133333333333334,0.033133333333333334,0.9668666666666667
2025-11-22 00:00:00+00:00,0.032200000000000006,0.032200000000000006,0.9678
2025-11-23 00:00:00+00:00,0.03126666666666667,0.03126666666666667,0.9687333333333333
2025-11-24 00:00:00+00:00,0.030333333333333337,0.030333333333333337,0.9696666666666667
2025-11-25 00:00:00+00:00,0.029400000000000003,0.029400000000000003,0.9706
2025-11-26 00:00:00+00:00,0.028466666666666668,0.028466666666666668,0.9715333333333334
2025-11-27 00:00:00+00:00,0.027533333333333337,0.027533333333333337,0.9724666666666667
2025-11-28 00:00:00+00:00,0.026600000000000002,0.026600000000000002,0.9734
2025-11-29 00:00:00+00:00,0.02566666666666667,0.02566666666666667,0.9743333333333333
2025-11-30 00:00:00+00:00,0.024733333333333336,0.024733333333333336,0.9752666666666666
2025-12-01 00:00:00+00:00,0.0238,0.0238,0.9762
2025-12-02 00:00:00+00:00,0.022866666666666667,0.022866666666666667,0.9771333333333333
2025-12-03 00:00:00+00:00,0.021933333333333336,0.021933333333333336,0.9780666666666666
2025-12-04 00:00:00+00:00,0.021,0.021,0.979
2025-12-05 00:00:00+00:00,0.02006666666666667,0.02006666666666667,0.9799333333333333
2025-12-06 00:00:00+00:00,0.019133333333333336,0.019133333333333336,0.9808666666666667
2025-12-07 00:00:00+00:00,0.0182,0.0182,0.9818
2025-12-08 00:00:00+00:00,0.01726666666666667,0.01726666666666667,0.9827333333333333
2025-12-09 00:00:00+00:00,0.016333333333333335,0.016333333333333335,0.9836666666666667
2025-12-10 00:00:00+00:00,0.0154,0.0154,0.9846
2025-12-11 00:00:00+00:00,0.01446666666666667,0.01446666666666667,0.9855333333333334
2025-12-12 00:00:00+00:00,0.013533333333333335,0.013533333333333335,0.9864666666666667
2025-12-13 00:00:00+00:00,0.0126,0.0126,0.9874
2025-12-14 00:00:00+00:00,0.011666666666666669,0.011666666666666669,0.9883333333333333
2025-12-15 00:00:00+00:00,0.010733333333333334,0.010733333333333334,0.9892666666666666
2025-12-16 00:00:00+00:00,0.0098,0.0098,0.9902
2025-12-17 00:00:00+00:00,0.008866666666666669,0.008866666666666669,0.9911333333333333
2025-12-18 00:00:00+00:00,0.007933333333333334,0.007933333333333334,0.9920666666666667
2025-12-19 00:00:00+00:00,0.007,0.007,0.993
2025-12-20 00:00:00+00:00,0.004,0.004,0.996
2025-12-21 00:00:00+00:00,0.006,0.006,0.994
2025-12-22 00:00:00+00:00,0.005,0.005,0.995
2025-12-23 00:00:00+00:00,0.003,0.003,0.997
2025-12-24 00:00:00+00:00,0.005,0.005,0.995
2025-12-25 00:00:00+00:00,0.004,0.004,0.996
2025-12-26 00:00:00+00:00,0.005,0.005,0.995
2025-12-27 00:00:00+00:00,0.002,0.002,0.998
2025-12-28 00:00:00+00:00,0.002,0.002,0.998
2025-12-29 00:00:00+00:00,0.001,0.001,0.999
2025-12-30 00:00:00+00:00,0.001,0.001,0.999
2025-12-31 00:00:00+00:00,0.001,0.001,0.999
