simulation,timestamp_t0,model_used,scenario,branch,terminal_resolution_nuclear,terminal_resolution_ukraine,terminal_abnormal_return,max_drawdown,ret_step1_nuclear,ret_terminal_nuclear,ret_step1_ukraine,ret_terminal_ukraine,idio_path_std
4004,2025-09-25 00:00:00+00:00,VAR,N:0|U:1,N:down->0 | U:up->1,0,1,0.37726672102899883,-0.49102788542178577,-14.28571428571428,-100.0,9.090909090909104,733.3333333333333,48.31358723261303
4005,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.7059975446273925,-0.8526158622268882,-14.28571428571428,-100.0,9.090909090909104,-100.0,194.43233923653008
4006,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.6665909633203457,-0.6769825001037291,-14.28571428571428,-100.0,9.090909090909104,-100.0,23.281583886218396
4007,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.462786482575137,-0.6894919528899344,14.285714285714256,-100.0,-18.181818181818176,-100.0,32.63164532243222
4008,2025-09-25 00:00:00+00:00,VAR,N:0|U:1,N:down->0 | U:down->1,0,1,0.3806169221333213,-0.4126497480934822,-14.28571428571428,-100.0,-18.181818181818176,1011.1111111111109,69.36956950488158
4009,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.7821814392654942,-0.7924122127149422,14.285714285714256,-100.0,9.090909090909104,-100.0,21.14434791040987
4010,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.15496341935688374,-0.4133278155792883,14.285714285714256,-100.0,-18.181818181818176,-100.0,26.265902522983698
4011,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.9797219977952207,-0.985980736456352,14.285714285714256,-100.0,-18.181818181818176,-100.0,46.559151724076095
4012,2025-09-25 00:00:00+00:00,VAR,N:1|U:0,N:up->1 | U:up->0,1,0,-0.5099196700648543,-0.6622489418453553,14.285714285714256,1150.0000000000002,9.090909090909104,-100.0,27.530358575797727
4013,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.9409072208429622,-0.8977897379218764,14.285714285714256,-100.0,9.090909090909104,-100.0,27.22880767059698
4014,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.8416317059467515,-0.8593370109671713,-14.28571428571428,-100.0,9.090909090909104,-100.0,29.710745580603337
4015,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,0.0642460516927974,-0.575022363675386,-14.28571428571428,-100.0,9.090909090909104,-100.0,36.54611915002071
4016,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.7638687296344209,-0.8140975291500616,14.285714285714256,-100.0,9.090909090909104,-100.0,30.795224821054248
4017,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.8606138170429993,-0.8788656741484417,-14.28571428571428,-100.0,-18.181818181818176,-100.0,26.747582888770065
4018,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,1.5482788134478884,-0.6920651755448204,14.285714285714256,-100.0,9.090909090909104,-100.0,107.06977935876778
4019,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.18168808086805932,-0.6968644505715744,-14.28571428571428,-100.0,-18.181818181818176,-100.0,43.58960577515409
4020,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.8944070985003756,-0.9113046205426933,14.285714285714256,-100.0,-18.181818181818176,-100.0,33.052951657920175
4021,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,0.6135419362551076,-0.7917481356174703,14.285714285714256,-100.0,-18.181818181818176,-100.0,209.61245384776183
4022,2025-09-25 00:00:00+00:00,VAR,N:1|U:1,N:up->1 | U:up->1,1,1,-0.6364452834754109,-0.8068197554439362,14.285714285714256,1150.0000000000002,9.090909090909104,733.3333333333333,39.81203269885108
4023,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.8165952259889384,-0.8982602873109798,14.285714285714256,-100.0,9.090909090909104,-100.0,45.45732354452696
4024,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.2848315575758784,-0.5722171956244557,-14.28571428571428,-100.0,9.090909090909104,-100.0,32.392534497899824
4025,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.46022509393387967,-0.6110457554056901,-14.28571428571428,-100.0,-18.181818181818176,-100.0,28.667947872041022
4026,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.6666759833806583,-0.6456499233302566,-14.28571428571428,-100.0,-18.181818181818176,-100.0,28.284565424311452
4027,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.4143435927039,-0.44783101755979393,-14.28571428571428,-100.0,-18.181818181818176,-100.0,20.070670125849976
4028,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.6271149337375773,-0.671056479924867,-14.28571428571428,-100.0,9.090909090909104,-100.0,20.89573831275675
4029,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.6179659285495382,-0.6503105009158174,-14.28571428571428,-100.0,-18.181818181818176,-100.0,21.291019570366803
