sim_id,terminal_resolution,cum_elec_idio_return_pct,mean_daily_idio_pct,std_daily_idio_pct,max_drawdown_pct
4181,1,33529.77165970852,220.99082222870416,23.44007064410269,0.0
4182,0,36108.17530513885,225.76770604253915,23.687065514023022,0.0
4183,0,39812.7963760725,233.45651814920492,38.80490116359251,0.0
4184,0,40437.20621055168,232.6768425480872,14.989002706895723,0.0
4185,0,40268.375349404945,233.1014865305081,26.718908280945662,0.0
4186,1,39446.54668832349,233.15683071458255,38.85790379808154,0.0
4187,1,41805.334540952535,235.73233430797896,27.723336268384614,0.0
4188,1,33057.85345814286,219.4266038802576,10.884794135164945,0.0
4189,0,41415.60532335557,235.43278624410829,31.941741386734012,0.0
4190,1,38376.611174399644,229.10908137370393,12.051150764609663,0.0
4191,0,43627.52570605224,237.98151769908367,19.997279517160372,0.0
4192,0,46775.97730387853,243.66325059435218,33.08178769879199,0.0
4193,0,44772.9337162025,240.08442608378118,25.39357941729466,0.0
4194,0,32420.498124972728,218.88346350809056,23.50387861589797,0.0
4195,0,38222.11897666521,228.9079894845725,13.824737475533016,0.0
4196,1,31047.266613431064,216.75677142131582,29.50771391916658,0.0
4197,0,39721.89813545622,233.0252180618989,35.60015724102461,0.0
4198,1,48923.79125368565,245.8280097341717,20.838396282002968,0.0
4199,1,36012.36092611669,226.69258390684104,35.48534482007939,0.0
4200,1,43164.56113314986,236.92387595520546,12.694992344315628,0.0
4201,0,35806.140722534634,224.65408944650025,13.811286043711023,0.0
4202,1,41374.61728685333,234.0443469135418,11.355549112622912,0.0
4203,0,32035.018922126357,217.9269945303991,20.742160440040383,0.0
4204,0,37492.22655211343,227.71201980630394,15.276751842589912,0.0
4205,0,38225.62824322042,230.1779301470715,31.8533796026993,0.0
4206,1,32761.333384294416,218.93738980977508,13.16621743894407,0.0
4207,1,39092.6340390956,232.77345759835117,40.82696372561023,0.0
4208,0,30653.458385802234,215.2166235540485,21.5564964401035,0.0
4209,1,41253.139683071626,233.88119912744537,12.128562906246012,0.0
4210,0,47882.235390888454,244.4888611469375,22.93260109254603,0.0
4211,0,39852.04676489819,234.12810276592933,41.213297514065246,0.0
4212,0,43393.776221759625,237.71704158159133,21.70015484160219,0.0
4213,1,36315.7549975126,225.91222862416285,20.38079962167272,0.0
4214,0,36932.73321916835,226.83842225844464,17.61518929262,0.0
4215,1,42241.401182477864,235.58511876715414,15.392232227496406,0.0
4216,0,43553.73006789645,237.71626035315126,16.737164464444852,0.0
4217,1,31016.790365517612,215.5704200996801,15.080895705796205,0.0
4218,0,31307.181670976835,216.8065428216774,25.500858375283826,0.0
4219,0,36961.04623779485,226.63566142154497,11.88579581927078,0.0
4220,1,39258.80270176233,230.5295459880061,9.977504859932447,0.0
4221,1,35554.984625516685,223.94317624340448,4.649869906957309,0.0
4222,0,40648.031818722964,236.08939519853448,47.864284304642844,0.0
4223,1,39105.11565728644,230.4846651372114,15.765339462472076,0.0
4224,1,37622.827318474614,227.80496580654955,12.115324629894216,0.0
4225,0,35551.35750643408,224.70825243949722,22.512835383251257,0.0
4226,0,32561.88814687834,218.82456214192956,18.743216788073592,0.0
4227,1,39255.16743890105,230.8502646870692,17.719576802204898,0.0
